timestamp,latitude,longitude
2026/02/27 12:03:10.000+00,-25.3855566,-51.497159
2026/02/27 12:03:15.000+00,-25.3855838,-51.4971708
2026/02/27 12:03:19.000+00,-25.3855911,-51.4971725
2026/02/27 12:03:23.000+00,-25.3856051,-51.4971779
2026/02/27 12:03:28.000+00,-25.3856524,-51.4971963
2026/02/27 12:03:32.000+00,-25.3856681,-51.4972063
2026/02/27 12:03:36.000+00,-25.3856799,-51.497212
2026/02/27 12:03:41.000+00,-25.3857124,-51.4972226
2026/02/27 12:03:45.000+00,-25.3857441,-51.4972512
2026/02/27 12:03:49.000+00,-25.3857751,-51.4972706
2026/02/27 12:03:53.000+00,-25.3857958,-51.4972805
2026/02/27 12:03:58.000+00,-25.3858029,-51.4972719
2026/02/27 12:04:03.000+00,-25.385803,-51.4972735
2026/02/27 12:04:07.000+00,-25.385809,-51.4972691
2026/02/27 12:04:12.000+00,-25.3858054,-51.4972676
2026/02/27 12:04:17.000+00,-25.3858052,-51.4972662
2026/02/27 12:04:22.000+00,-25.3858054,-51.4972667
2026/02/27 12:04:26.000+00,-25.3858081,-51.4972685
2026/02/27 12:04:31.000+00,-25.3858102,-51.4972702
2026/02/27 12:04:36.000+00,-25.3858097,-51.4972705
2026/02/27 12:04:41.000+00,-25.3858061,-51.4972707
2026/02/27 12:04:46.000+00,-25.3858045,-51.4972712
2026/02/27 12:04:50.000+00,-25.3858042,-51.497271
2026/02/27 12:04:55.000+00,-25.3858054,-51.49727
2026/02/27 12:04:59.000+00,-25.3858048,-51.4972693
2026/02/27 12:05:04.000+00,-25.3858058,-51.4972692
2026/02/27 12:05:09.000+00,-25.385806,-51.4972692
2026/02/27 12:05:24.000+00,-25.3858088,-51.4972679
2026/02/27 12:05:39.000+00,-25.3858114,-51.4972659
2026/02/27 12:06:29.000+00,-25.3858102,-51.4972657
2026/02/27 12:06:33.000+00,-25.3858103,-51.4972663
2026/02/27 12:06:37.000+00,-25.3857879,-51.4973013
2026/02/27 12:06:41.000+00,-25.3857624,-51.4973418
2026/02/27 12:06:44.000+00,-25.3857544,-51.4973663
2026/02/27 12:06:49.000+00,-25.3857552,-51.4973696
2026/02/27 12:06:54.000+00,-25.3857605,-51.4973631
2026/02/27 12:06:59.000+00,-25.3857624,-51.4973608
2026/02/27 12:07:04.000+00,-25.3857632,-51.4973567
2026/02/27 12:07:09.000+00,-25.3857631,-51.4973565
2026/02/27 12:07:14.000+00,-25.3857631,-51.4973564
2026/02/27 12:07:19.000+00,-25.3857632,-51.4973563
2026/02/27 12:07:23.000+00,-25.3857631,-51.4973564
2026/02/27 12:07:28.000+00,-25.3857632,-51.4973563
2026/02/27 12:08:26.000+00,-25.3857568,-51.4973493
2026/02/27 12:08:31.000+00,-25.3857566,-51.4973489
2026/02/27 12:09:28.000+00,-25.3857522,-51.4973535
2026/02/27 12:09:32.000+00,-25.3857542,-51.4973556
2026/02/27 12:09:37.000+00,-25.3857579,-51.497357
2026/02/27 12:09:42.000+00,-25.3857649,-51.4973591
2026/02/27 12:09:47.000+00,-25.3857671,-51.4973604
2026/02/27 12:09:52.000+00,-25.3857673,-51.4973603
2026/02/27 12:09:57.000+00,-25.3857652,-51.4973574
2026/02/27 12:10:02.000+00,-25.3857652,-51.4973553
2026/02/27 12:10:06.000+00,-25.3857631,-51.4973526
2026/02/27 12:10:11.000+00,-25.3857622,-51.4973524
2026/02/27 12:10:16.000+00,-25.3857625,-51.4973525
2026/02/27 12:10:21.000+00,-25.3857625,-51.497352
2026/02/27 12:10:26.000+00,-25.3857625,-51.4973519
2026/02/27 12:11:01.000+00,-25.3857776,-51.4973228
